96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials
51000,84,28829,A6,,,UNK,,4/20/2021,KW
51000,85,28829,B6,,,LEFT,,4/20/2021,KW
51000,86,28829,C6,,,UNK,,4/20/2021,KW
51000,87,28829,C6,,,LEFT,,4/20/2021,KW
51000,88,28829,E6,,,LEFT,,4/20/2021,KW
51000,89,28829,F6,,,LEFT,,4/20/2021,KW
51000,90,28829,G6,,,LEFT,,4/20/2021,KW
51000,91,28829,H6,,,LEFT,,4/20/2021,KW
51000,92,22569,B1,,,LEFT,,4/21/2021,DB
51000,93,22569,C1,,,LEFT,,4/21/2021,DB
51000,94,22569,D1,,,LEFT,,4/21/2021,DB
51000,95,22569,E1,,,LEFT,,4/21/2021,DB
51000,96,NTC,NTC,,,,,4/21/2021,DB
50974,1,22569,F1,,,LEFT,,4/21/2021,DB
50974,2,22569,F1,,,UNK,,4/21/2021,DB
50974,3,22569,G1,,,LEFT,,4/21/2021,DB
50974,4,22569,A2,,,LEFT,,4/21/2021,DB
50974,5,22569,B2,,,LEFT,,4/21/2021,DB
50974,6,22569,C2,,,LEFT,,4/21/2021,DB
50974,7,22569,D2,,,LEFT,,4/21/2021,DB
50974,8,22569,E2,,,LEFT,,4/21/2021,DB
50974,9,22569,F2,,,LEFT,,4/21/2021,DB
50974,10,22569,G2,,,LEFT,,4/21/2021,DB
50974,11,22569,H2,,,LEFT,,4/21/2021,DB
50974,12,22569,E3,,,LEFT,,4/21/2021,DB
50974,13,22569,G3,,,LEFT,,4/21/2021,DB
50974,14,22569,H3,,,LEFT,,4/21/2021,DB
50974,15,22569,A4,,,LEFT,,4/21/2021,DB
50974,16,22569,G4,,,UNK,,4/21/2021,DB
50974,17,22569,G4,,,LEFT,,4/21/2021,DB
50974,18,22569,H4,,,LEFT,,4/21/2021,DB
50974,19,22569,A5,,,LEFT,,4/21/2021,DB
50974,20,22569,C5,,,UNK,,4/21/2021,DB
50974,21,22701,A1,,,LEFT,,4/21/2021,DB
50974,22,22701,B1,,,LEFT,,4/21/2021,DB
50974,23,22701,D1,,,LEFT,,4/21/2021,DB
50974,24,22701,E1,,,LEFT,,4/21/2021,DB
50974,25,22701,F1,,,LEFT,,4/21/2021,DB
50974,26,22701,G1,,,LEFT,,4/21/2021,DB
50974,27,22701,H1,,,LEFT,,4/21/2021,DB
50974,28,22701,C2,,,LEFT,,4/21/2021,DB
50974,29,22701,A3,,,UNK,,4/21/2021,DB
50974,30,22701,B4,,,UNK,,4/21/2021,DB
50974,31,22701,C4,,,LEFT,,4/21/2021,DB
50974,32,22701,H4,,,LEFT,,4/21/2021,DB
50974,33,22701,A5,,,LEFT,,4/21/2021,DB
50974,34,22701,A5,,,LEFT,,4/21/2021,DB
50974,35,22701,B5,,,LEFT,,4/21/2021,DB
50974,36,22701,B5,,,LEFT,,4/21/2021,DB
50974,37,22701,C5,,,LEFT,,4/21/2021,DB
50974,38,22701,D5,,,UNK,,4/21/2021,DB
50974,39,22701,D5,,,UNK,,4/21/2021,DB
50974,40,22701,F5,,,LEFT,,4/21/2021,DB
50974,41,22701,G5,,,LEFT,,4/21/2021,DB
50974,42,22701,H5,,,LEFT,,4/21/2021,DB
50974,43,22701,A6,,,UNK,,4/21/2021,DB
50974,44,22701,B6,,,LEFT,,4/21/2021,DB
50974,45,22701,C6,,,LEFT,,4/21/2021,DB
50974,46,22701,D6,,,LEFT,,4/21/2021,DB
50974,47,22701,E6,,,LEFT,,4/21/2021,DB
50974,48,22701,F6,,,LEFT,,4/21/2021,DB
50974,49,22701,G6,,,LEFT,,4/21/2021,DB
50974,50,28929,A1,,,LEFT,,4/21/2021,DB
50974,51,28929,B1,,,LEFT,,4/21/2021,DB
50974,52,28929,C1,,,LEFT,,4/21/2021,DB
50974,53,28929,D1,,,LEFT,,4/21/2021,DB
50974,54,28929,E1,,,LEFT,,4/21/2021,DB
50974,55,28929,F1,,,LEFT,,4/21/2021,DB
50974,56,28929,G1,,,LEFT,,4/21/2021,DB
50974,57,28929,H1,,,LEFT,,4/21/2021,DB
50974,58,28929,A2,,,LEFT,,4/21/2021,DB
50974,59,28929,B2,,,LEFT,,4/21/2021,DB
50974,60,28929,C2,,,LEFT,,4/21/2021,DB
50974,61,28929,F2,,,LEFT,,4/21/2021,DB
50974,62,28929,G2,,,LEFT,,4/21/2021,DB
50974,63,28929,G2,,,LEFT,,4/21/2021,DB
50974,64,28929,A3,,,LEFT,,4/21/2021,DB
50974,65,28929,A3,,,LEFT,,4/21/2021,DB
