SillySource,oto_tray_and_well,96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials,silly_code,stream,sample_year,sample_date,otolith_info,pass_QA,genotype_match_assigned,logic_match_assigned,non_GOD_assignment,otolith_moved,heart_fish_id,heart_position
PGOD21_42,50956_42,50956,42,14376,C6,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7830,C6
PGOD21_43,50956_43,50956,43,14376,E6,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7832,E6
PGOD21_44,50956_44,50956,44,14334,G3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7458,G3
PGOD21_45,50956_45,50956,45,14334,H3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,TRUE,FALSE,FALSE,PERB16_7459,H3
PGOD21_46,50956_46,50956,46,14334,G4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7466,G4
PGOD21_47,50956_47,50956,47,14334,H4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7467,H4
PGOD21_48,50956_48,50956,48,14334,G5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7474,G5
PGOD21_49,50956_49,50956,49,14334,H5,NA,NA,unk,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,TRUE,FALSE,FALSE,PERB16_7475,H5
PGOD21_50,50956_50,50956,50,14332,B1,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8045,B1
PGOD21_51,50956_51,50956,51,14332,A2,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8052,A2
PGOD21_52,50956_52,50956,52,14332,B2,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8053,B2
PGOD21_53,50956_53,50956,53,14332,C2,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_54,50956_54,50956,54,14332,D2,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_55,50956_55,50956,55,14332,A3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8060,A3
PGOD21_56,50956_56,50956,56,14332,C3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_8061,B3
PGOD21_57,50956_57,50956,57,14332,C3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8062,C3
PGOD21_58,50956_58,50956,58,14332,D3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8063,D3
PGOD21_59,50956_59,50956,59,14332,E3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_60,50956_60,50956,60,14332,A4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8068,A4
PGOD21_61,50956_61,50956,61,14332,B4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8069,B4
PGOD21_62,50956_62,50956,62,14332,D4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_8070,C4
PGOD21_63,50956_63,50956,63,14332,D4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_64,50956_64,50956,64,14332,E4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8072,E4
PGOD21_65,50956_65,50956,65,14332,B5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_66,50956_66,50956,66,14332,C5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_67,50956_67,50956,67,14332,D5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8079,D5
PGOD21_69,50956_69,50956,69,22174,A1,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_529,A1
PGOD21_70,50956_70,50956,70,22174,B1,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_530,B1
PGOD21_71,50956_71,50956,71,22174,C1,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_72,50956_72,50956,72,22174,E1,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_533,E1
PGOD21_73,50956_73,50956,73,22174,F1,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_534,F1
PGOD21_74,50956_74,50956,74,22174,G1,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_535,G1
PGOD21_75,50956_75,50956,75,22174,H1,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_536,H1
PGOD21_76,50956_76,50956,76,22174,A2,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_537,A2
PGOD21_78,50956_78,50956,78,22174,B3,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB17_541,E2
PGOD21_79,50956_79,50956,79,22174,H3,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_80,50956_80,50956,80,22174,A4,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_81,50956_81,50956,81,22174,A4,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-09-02,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
