otolith_fish_id,heart_fish_id,otolith_miss_loci,heart_miss_loci,duplicate_rate,48_DWP_tray_barcode,diff,otolith_position,otolith_row,otolith_col,heart_position,heart_row,heart_col,heart_fish_id_self,heart_miss_loci_self,duplicate_rate_self,diff_self,match_type
PGOD21_2149,PGILMOUR15_220,153,1,0.903448275862069,2097,0.3793103448275862,C2,C,2,C2,C,2,PGILMOUR15_220,1,0.903448275862069,0,self
PGOD21_2150,PGILMOUR15_229,96,1,0.7079207920792079,2097,0.19801980198019797,D2,D,2,D3,D,3,PGILMOUR15_221,2,0.4577114427860697,0.2502093492931382,not_self
PGOD21_2151,PGILMOUR15_221,138,2,0.8375,2097,0.3125,D2,D,2,D2,D,2,PGILMOUR15_221,2,0.8375,0,self
PGOD21_2152,PGILMOUR15_222,161,0,0.8102189781021898,2097,0.2846715328467153,E2,E,2,E2,E,2,PGILMOUR15_222,0,0.8102189781021898,0,self
PGOD21_2153,PGILMOUR15_223,201,4,0.7835051546391752,2097,0.24183848797250862,F2,F,2,F2,F,2,PGILMOUR15_223,4,0.7835051546391752,0,self
PGOD21_2156,PGILMOUR15_236,204,2,0.9787234042553191,2097,0.3829787234042553,C3,C,3,C4,C,4,PGILMOUR15_228,1,0.5425531914893617,0.43617021276595747,not_self
PGOD21_2158,PGILMOUR15_231,180,1,0.7457627118644068,2097,0.18644067796610175,F3,F,3,F3,F,3,PGILMOUR15_231,1,0.7457627118644068,0,self
PGOD21_2160,PGILMOUR15_232,169,3,0.6434108527131783,2097,0.10077519379844968,G3,G,3,G3,G,3,PGILMOUR15_232,3,0.6434108527131783,0,self
PGOD21_2163,PGILMOUR15_238,174,0,0.9435483870967742,2097,0.41129032258064524,D4,D,4,E4,E,4,PGILMOUR15_237,3,0.3790322580645161,0.5645161290322581,not_self
PGOD21_2164,PGILMOUR15_237,192,3,0.5754716981132075,2097,0.037735849056603765,E4,E,4,D4,D,4,PGILMOUR15_238,0,0.4339622641509434,0.14150943396226412,not_self
PGOD21_2165,PGILMOUR15_230,160,2,0.7246376811594203,2097,0.1811594202898551,E4,E,4,E3,E,3,PGILMOUR15_238,0,0.5,0.2246376811594203,not_self
PGOD21_2167,PGILMOUR15_240,190,1,0.9351851851851852,2097,0.39814814814814814,G4,G,4,G4,G,4,PGILMOUR15_240,1,0.9351851851851852,0,self
PGOD21_2168,PGILMOUR15_243,204,1,0.851063829787234,2097,0.34042553191489366,B5,B,5,B5,B,5,PGILMOUR15_243,1,0.851063829787234,0,self
PGOD21_2644,PGILMOUR15_349,76,3,0.6396396396396397,2120,0.05405405405405406,B2,B,2,B2,B,2,PGILMOUR15_349,3,0.6396396396396397,0,self
PGOD21_2645,PGILMOUR15_350,166,1,0.7727272727272727,2120,0.2296238244514106,C2,C,2,C2,C,2,PGILMOUR15_350,1,0.7727272727272727,0,self
PGOD21_2646,PGILMOUR15_355,100,0,0.5959595959595959,2120,0.025252525252525193,D2,D,2,H2,H,2,PGILMOUR15_351,3,0.5707070707070707,0.025252525252525193,not_self
PGOD21_2647,PGILMOUR15_352,76,1,0.8828828828828829,2120,0.33237783237783236,E2,E,2,E2,E,2,PGILMOUR15_352,1,0.8828828828828829,0,self
PGOD21_2648,PGILMOUR15_357,32,0,0.9774436090225563,2120,0.46851503759398494,B3,B,3,B3,B,3,PGILMOUR15_357,0,0.9774436090225563,0,self
PGOD21_2650,PGILMOUR15_358,73,5,0.9822222222222222,2120,0.47111111111111115,C3,C,3,C3,C,3,PGILMOUR15_358,5,0.9822222222222222,0,self
PGOD21_2651,PGILMOUR15_360,149,2,0.7516778523489933,2120,0.21476510067114096,D3,D,3,E3,E,3,PGILMOUR15_359,7,0.44966442953020136,0.30201342281879195,not_self
PGOD21_2652,PGILMOUR15_365,59,1,0.9414225941422594,2120,0.41841004184100417,B4,B,4,B4,B,4,PGILMOUR15_365,1,0.9414225941422594,0,self
PGOD21_2653,PGILMOUR15_367,100,3,0.766497461928934,2120,0.20509395315700418,D4,D,4,D4,D,4,PGILMOUR15_367,3,0.766497461928934,0,self
PGOD21_2655,PGILMOUR15_373,43,1,0.7254901960784313,2120,0.16104575163398693,B5,B,5,B5,B,5,PGILMOUR15_373,1,0.7254901960784313,0,self
PGOD21_2656,PGILMOUR15_374,65,0,0.8583690987124464,2120,0.3235864900167942,C5,C,5,C5,C,5,PGILMOUR15_374,0,0.8583690987124464,0,self
PGOD21_2657,PGILMOUR15_375,45,4,0.8366533864541833,2120,0.29157141924106855,D5,D,5,D5,D,5,PGILMOUR15_375,4,0.8366533864541833,0,self
PGOD21_2003,PGILMOUR15_492,102,0,0.7908163265306123,2123,0.2369701726844584,A2,A,2,A2,A,2,PGILMOUR15_492,0,0.7908163265306123,0,self
PGOD21_2004,PGILMOUR15_493,31,4,0.9662921348314607,2123,0.45692883895131087,B2,B,2,B2,B,2,PGILMOUR15_493,4,0.9662921348314607,0,self
PGOD21_2005,PGILMOUR15_494,110,0,0.6648936170212766,2123,0.07446808510638292,C2,C,2,C2,C,2,PGILMOUR15_494,0,0.6648936170212766,0,self
PGOD21_2006,PGILMOUR15_495,108,0,0.9473684210526315,2123,0.3941769316909294,D2,D,2,D2,D,2,PGILMOUR15_495,0,0.9473684210526315,0,self
PGOD21_2007,PGILMOUR15_495,84,0,0.5514018691588785,2123,0.014018691588784993,E2,E,2,D2,D,2,NA,NA,NA,NA,not_self
